tanggal,hari_nama,hari_ke(1-7),debit_ls,kebutuhan_m3_hari,pelanggan_aktif
2023-01-01,Minggu,7,31.31,2705.184,2115
2023-01-02,Senin,1,32.02,2766.5280000000002,2115
2023-01-03,Selasa,2,31.91,2757.0240000000003,2115
2023-01-04,Rabu,3,31.61,2731.1040000000003,2115
2023-01-05,Kamis,4,31.34,2707.7760000000003,2115
2023-01-06,Jumat,5,31.56,2726.784,2115
2023-01-07,Sabtu,6,31.72,2740.608,2115
2023-01-08,Minggu,7,32.25,2786.4,2115
2023-01-09,Senin,1,32.08,2771.712,2115
2023-01-10,Selasa,2,30.88,2668.032,2115
2023-01-11,Rabu,3,31.16,2692.224,2115
2023-01-12,Kamis,4,30.28,2616.1920000000005,2115
2023-01-13,Jumat,5,30.81,2661.984,2115
2023-01-14,Sabtu,6,30.33,2620.512,2115
2023-01-15,Minggu,7,30.37,2623.9680000000003,2115
2023-01-16,Senin,1,30.06,2597.184,2115
2023-01-17,Selasa,2,31.01,2679.264,2115
2023-01-18,Rabu,3,31.12,2688.7680000000005,2115
2023-01-19,Kamis,4,31.02,2680.128,2115
2023-01-20,Jumat,5,31.29,2703.456,2115
2023-01-21,Sabtu,6,31.55,2725.92,2115
2023-01-22,Minggu,7,31.06,2683.5840000000003,2115
2023-01-23,Senin,1,31.24,2699.136,2115
2023-01-24,Selasa,2,30.95,2674.08,2115
2023-01-25,Rabu,3,30.95,2674.08,2115
2023-01-26,Kamis,4,29.39,2539.2960000000003,2115
2023-01-27,Jumat,5,30.84,2664.576,2115
2023-01-28,Sabtu,6,30.85,2665.4400000000005,2115
2023-01-29,Minggu,7,31.34,2707.7760000000003,2119
2023-01-30,Senin,1,31.19,2694.8160000000003,2119
2023-01-31,Selasa,2,31.05,2682.7200000000003,2119
2023-02-01,Rabu,3,31.3,2704.32,2119
2023-02-02,Kamis,4,31.35,2708.6400000000003,2119
2023-02-03,Jumat,5,29.57,2554.8480000000004,2119
2023-02-04,Sabtu,6,29.53,2551.3920000000003,2119
2023-02-05,Minggu,7,33.15,2864.16,2119
2023-02-06,Senin,1,32.74,2828.7360000000003,2119
2023-02-07,Selasa,2,32.14,2776.896,2119
2023-02-08,Rabu,3,31.05,2682.7200000000003,2119
2023-02-09,Kamis,4,31.19,2694.8160000000003,2119
2023-02-10,Jumat,5,31.66,2735.424,2119
2023-02-11,Sabtu,6,31.32,2706.0480000000002,2119
2023-02-12,Minggu,7,30.95,2674.08,2119
2023-02-13,Senin,1,31.51,2722.4640000000004,2119
2023-02-14,Selasa,2,31.34,2707.7760000000003,2119
2023-02-15,Rabu,3,30.57,2641.248,2119
2023-02-16,Kamis,4,30.81,2661.984,2119
2023-02-17,Jumat,5,31.13,2689.632,2119
2023-02-18,Sabtu,6,31.0,2678.4,2119
2023-02-19,Minggu,7,30.97,2675.808,2119
2023-02-20,Senin,1,29.81,2575.584,2119
2023-02-21,Selasa,2,30.58,2642.112,2119
2023-02-22,Rabu,3,30.81,2661.984,2119
2023-02-23,Kamis,4,30.65,2648.16,2119
2023-02-24,Jumat,5,31.14,2690.496,2119
2023-02-25,Sabtu,6,31.31,2705.184,2119
2023-02-26,Minggu,7,30.69,2651.6160000000004,2119
2023-02-27,Senin,1,32.04,2768.2560000000003,2119
2023-02-28,Selasa,2,29.89,2582.496,2119
2023-03-01,Rabu,3,30.56,2640.384,2122
2023-03-02,Kamis,4,30.99,2677.536,2122
2023-03-03,Jumat,5,31.15,2691.36,2122
2023-03-04,Sabtu,6,31.25,2700.0,2122
2023-03-05,Minggu,7,31.07,2684.4480000000003,2122
2023-03-06,Senin,1,32.59,2815.7760000000003,2122
2023-03-07,Selasa,2,46.02,3976.1280000000006,3608
2023-03-08,Rabu,3,43.06,3720.3840000000005,3608
2023-03-09,Kamis,4,42.38,3661.6320000000005,3608
2023-03-10,Jumat,5,46.65,4030.56,3608
2023-03-11,Sabtu,6,45.14,3900.0960000000005,3608
2023-03-12,Minggu,7,45.91,3966.624,3608
2023-03-13,Senin,1,44.92,3881.088,3608
2023-03-14,Selasa,2,44.75,3866.4,3608
2023-03-15,Rabu,3,45.22,3907.0080000000003,3608
2023-03-16,Kamis,4,45.13,3899.2320000000004,3608
2023-03-17,Jumat,5,45.21,3906.1440000000002,3608
2023-03-18,Sabtu,6,45.61,3940.704,3608
2023-03-19,Minggu,7,45.05,3892.32,3608
2023-03-20,Senin,1,43.38,3748.0320000000006,3608
2023-03-21,Selasa,2,42.07,3634.8480000000004,3608
2023-03-22,Rabu,3,41.41,3577.824,3608
2023-03-23,Kamis,4,43.77,3781.7280000000005,3608
2023-03-24,Jumat,5,43.97,3799.0080000000003,3608
2023-03-25,Sabtu,6,43.55,3762.72,3608
2023-03-26,Minggu,7,44.44,3839.616,3608
2023-03-27,Senin,1,43.36,3746.304,3608
2023-03-28,Selasa,2,44.81,3871.5840000000003,3608
2023-03-29,Rabu,3,40.02,3457.7280000000005,3608
2023-03-30,Kamis,4,44.4,3836.1600000000003,3608
2023-03-31,Jumat,5,44.74,3865.5360000000005,3608
2023-04-01,Sabtu,6,42.63,3683.2320000000004,3608
2023-04-02,Minggu,7,43.17,3729.8880000000004,3608
2023-04-03,Senin,1,43.47,3755.808,3608
2023-04-04,Selasa,2,43.22,3734.208,3608
2023-04-05,Rabu,3,43.37,3747.168,3608
2023-04-06,Kamis,4,43.27,3738.5280000000007,3608
2023-04-07,Jumat,5,43.5,3758.4,3608
2023-04-08,Sabtu,6,43.38,3748.0320000000006,3608
2023-04-09,Minggu,7,43.46,3754.9440000000004,3608
2023-04-10,Senin,1,42.75,3693.6000000000004,3608
2023-04-11,Selasa,2,42.97,3712.608,3608
2023-04-12,Rabu,3,42.63,3683.2320000000004,3608
2023-04-13,Kamis,4,42.77,3695.3280000000004,3608
2023-04-14,Jumat,5,43.03,3717.7920000000004,3608
2023-04-15,Sabtu,6,42.72,3691.0080000000003,3608
2023-04-16,Minggu,7,43.89,3792.0960000000005,3608
2023-04-17,Senin,1,44.07,3807.648,3608
2023-04-18,Selasa,2,43.98,3799.872,3608
2023-04-19,Rabu,3,45.59,3938.9760000000006,3608
2023-04-20,Kamis,4,47.08,4067.712,3608
